In the name of GOD, Most Gracious, Most Merciful.|[Quran 1:1]
You sought victory (O disbelievers), and victory did come;  it belonged to the believers.  If you refrain (from aggression) it would be better for you, but if you return, so will we. Your armies will never help you, no matter how great. For GOD is on the side of the believers. |[Sura 8:19]
O you who believe, obey GOD and His messenger, and do not disregard him while you hear. |[Sura 8:20]
Do not be like those who say, "We hear," when they do not hear. |[Sura 8:21]
The worst creatures in the sight of GOD are the deaf and dumb, who do not understand. |[Sura 8:22]
Had GOD known of any good in them, He would have made them hearers. Even if He made them hearers, they still would turn away in aversion. |[Sura 8:23]
O you who believe, you shall respond to GOD and to the messenger when he invites you to what gives you life. You should know that GOD is closer to you than your heart, and that before Him you will be summoned. |[Sura 8:24]
Beware of a retribution that may not be limited to the evildoers  among you. You should know that GOD's retribution is severe. |[Sura 8:25]
Remember that you used to be few and oppressed, fearing that the people may snatch you, and He granted you a secure sanctuary, supported you with His victory, and provided you with good provisions, that you may be appreciative. |[Sura 8:26]
O you who believe, do not betray GOD and the messenger, and do not betray those who trust you, now that you know. |[Sura 8:27]
You should know that your money and your children are a test, and that GOD possesses a great recompense. |[Sura 8:28]
O you who believe, if you reverence GOD, He will enlighten you, remit your sins, and forgive you. GOD possesses infinite grace. |[Sura 8:29]
The disbelievers plot and scheme to neutralize you, or kill you, or banish you. However, they plot and scheme, but so does GOD. GOD is the best schemer. |[Sura 8:30]
When our revelations are recited to them, they say, "We have heard. If we wanted to, we could have said the same things. These are no more than tales from the past!" |[Sura 8:31]
They also said, "Our god, if this is really the truth from  you, then shower us with rocks from the sky, or pour upon us  a painful punishment." |[Sura 8:32]
However, GOD is not to punish them while you are in  their midst; GOD is not to punish them while  they are seeking forgiveness. |[Sura 8:33]
Have they not deserved GOD's retribution, by repelling others from the Sacred Masjid, even though they are not the custodians thereof? The true custodians thereof are the righteous, but most of them do not know. |[Sura 8:34]
Their Contact Prayers (Salat)  at the shrine (Ka`bah)  were no more thana mockery  and a means of repelling the people  (by crowding them out). Therefore, suffer the retribution for your disbelief. |[Sura 8:35]
Those who disbelieve spend their money to repel others from the way of GOD. They will spend it, then it will turn into sorrow and remorse for them. Ultimately, they will be defeated, and all disbelievers will be summoned to Hell. |[Sura 8:36]
GOD will sift away the bad from the good, then pile the bad on top of each other, all in one pile, then throw it in Hell. Such are the losers. |[Sura 8:37]
Tell those who disbelieved: if they stop, all their past will be forgiven. But if they return, they will incur the same fate as their previous counterparts. |[Sura 8:38]
You shall fight them to ward off oppression, and to practice your religion devoted to GOD alone. If they refrain from aggression, then GOD is fully Seer of everything they do. |[Sura 8:39]
If they turn away, then you should know that GOD is  your Lord and Master; the best Lord and Master, the best supporter. |[Sura 8:40]
You should know that if you gain any spoils in war, one-fifth shall go to GOD and the messenger, to be given to the relatives, the orphans, the poor, and the traveling alien. You will do this if you believe in GOD and in what we revealed to our  servant on the day of decision, the day the two armies clashed. GOD is Omnipotent. |[Sura 8:41]
Recall that you were on this side of the valley, while they were on the other side. Then their caravan had to move to lower ground. Had you planned it this way, you could not have done it. But GOD was to carry out a predetermined matter, whereby those destined to be annihilated were annihilated for an obvious reason, and those destined to be saved were saved for an obvious reason. GOD is Hearer, Omniscient. |[Sura 8:42]
GOD made them appear in your dream (O Muhammad) fewer in number. Had He made them appear more numerous, you would have failed, and you would have disputed among yourselves. But GOD saved the situation. He is Knower of the innermost thoughts. |[Sura 8:43]
And when the time came and you faced them, He made them appear fewer in your eyes, and made you appear fewer in their eyes as well. For GOD willed to carry out a certain plan. All decisions are made by GOD. |[Sura 8:44]
O you who believe, when you encounter an army, you shall hold fast and commemorate GOD frequently, that you may succeed. |[Sura 8:45]
You shall obey GOD and His messenger, and do not dispute among yourselves, lest you fail and scatter your strength. You shall steadfastly persevere. GOD is with those who steadfastly persevere. |[Sura 8:46]
Do not be like those who left their homes grudgingly, only to show off, and in fact discouraged others from following the path of GOD. GOD is fully aware of everything they do. |[Sura 8:47]
The devil had adorned their works in their eyes, and said, "You cannot be defeated by any people today," and "I will be fighting along with you." But as soon as the two armies faced each other, he turned back on his heels and fled, saying, "I disown you. I see what you do not see. I am afraid of GOD. GOD's retribution is awesome." |[Sura 8:48]
The hypocrites and those who harbored doubt in their hearts said, "These people are deceived by their religion." However, if one puts his trust in GOD, then GOD is Almighty, Most Wise. |[Sura 8:49]
If you could only see those who disbelieved when the angels put them to death! They will beat them on their faces and their rear ends: "Taste the retribution of Hell. |[Sura 8:50]
"This is a consequence of what your hands have sent forth. GOD is never unjust towards the creatures." |[Sura 8:51]
This is the same fate as that of Pharaoh's people and those who disbelieved before them. They rejected GOD's revelations, and GOD punished them for their sins. GOD is powerful, and His retribution is severe. |[Sura 8:52]
GOD does not change a blessing He has  bestowed upon any people unless they themselves decide to change. GOD is Hearer, Omniscient. |[Sura 8:53]
Such was the case with the people of Pharaoh and others before  them. They first rejected the signs of their Lord. Consequently, we annihilated them for their sins. We drowned Pharaoh's people; the wicked were consistently punished. |[Sura 8:54]
The worst creatures in the sight of GOD are those who disbelieved; they cannot believe. |[Sura 8:55]
You reach agreements with them, but they violate their agreements every time; they are not righteous. |[Sura 8:56]
Therefore, if you encounter them in war, you shall set them up as a deterrent example for those who come after them, that they may take heed. |[Sura 8:57]
When you are betrayed by a group of people, you shall mobilize against them in the same manner. GOD does not love the betrayers. |[Sura 8:58]
Let not those who disbelieve think that they can get away with it; they can never escape. |[Sura 8:59]
You shall prepare for them all the power you can muster, and all the equipment you can mobilize,  that you may frighten the enemies of GOD, your enemies, as well as  others who are not known to you; GOD knows them. Whatever you  spend in the cause of GOD will be repaid to you generously,  without the least injustice. |[Sura 8:60]
If they resort to peace, so shall you, and put your trust in GOD. He is the Hearer, the Omniscient. |[Sura 8:61]
If they want to deceive you, then GOD will suffice  you. He will help you with His support, and with the believers. |[Sura 8:62]
He has reconciled the hearts (of the believers). Had you spent all the money on earth, you could not reconcile their hearts. But GOD did reconcile them. He is Almighty, Most Wise. |[Sura 8:63]
O you prophet, sufficient for you is GOD and the believers who have followed you. |[Sura 8:64]
O you prophet, you shall exhort the believers to fight. If there are twenty of you who are steadfast, they can defeat two hundred, and a hundred of you can defeat a thousand of those who disbelieved. That is because they are people who do not understand. |[Sura 8:65]
Now (that many new people have joined you) GOD has made it easier for you, for He knows that you are not as strong as you used to be. Henceforth, a hundred steadfast believers can defeat two hundred, and a thousand of you can defeat two thousand by GOD's leave. GOD is with those who steadfastly persevere. |[Sura 8:66]
No prophet shall acquire captives, unless he participates in the fighting. You people are seeking the materials of this world, while GOD advocates the Hereafter. GOD is Almighty, Most Wise. |[Sura 8:67]
If it were not for a predetermined decree from GOD, you would have suffered, on account of what you took, a terrible retribution. |[Sura 8:68]
Therefore, eat from the spoils you have earned, that which is lawful and good, and observe GOD. GOD is Forgiver, Most Merciful. |[Sura 8:69]
O you prophet, tell the prisoners of war in your hands, "If GOD knew of anything good in your hearts, He would have given you better than anything you have lost, and would have forgiven you. GOD is Forgiver, Most Merciful." |[Sura 8:70]
And if they want to betray you, they have already betrayed GOD. This is why He made them the losers. GOD is Omniscient, Most Wise. |[Sura 8:71]
Surely, those who believed, and emigrated, and strove with their money and their lives in the cause of GOD, as well as those who hosted them and gave them refuge, and sup- ported them, they are allies of one another. As for those who believe, but do not emigrate with you, you do not owe them any support, until they do emigrate. However, if they need your help, as brethren in faith, you shall help them, except against people with whom you have signed a peace treaty. GOD is Seer of everything you do. |[Sura 8:72]
Those who disbelieved are allies of one another. Unless you keep these commandments, there will be chaos on earth, and terrible corruption. |[Sura 8:73]
Those who believed and emigrated, and strove in the cause of GOD, as well as those who hosted them and gave them refuge, and supported them,  these are the true believers. They have deserved forgiveness and a generous recompense. |[Sura 8:74]
Those who believed afterwards, and emigrated, and strove with you, they belong with you. Those who are related to each other shall be the first to support each other, in accordance with GOD's commandments. GOD is fully aware of all things.|[Sura 8:75]
An ultimatum is herein issued from GOD and His messenger to the idol worshipers who enter into a treaty with you. |[Sura 9:1]
Therefore, roam the earth freely for four months, and know that  you cannot escape from GOD, and that GOD humiliates the disbelievers. |[Sura 9:2]
A proclamation is herein issued from GOD and His messenger to all the people on the great day of pilgrimage, that GOD has disowned the idol worshipers, and so did His messenger. Thus, if you repent, it would be better for you. But if you turn away, then know that you can never escape from GOD. Promise those who disbelieve a painful retribution. |[Sura 9:3]
If the idol worshipers sign a peace treaty with you, and do not violate it, nor band together with others against you, you shall fulfill your treaty with them until the expiration date. GOD loves the righteous. |[Sura 9:4]
Once the Sacred Months are past, (and they refuse to make peace) you may kill the idol worshipers when you encounter them, punish them, and resist every move they make. If they repent and observe the  Contact Prayers (Salat)  and give the obligatory charity (Zakat), you shall let them go.  GOD is Forgiver, Most Merciful. |[Sura 9:5]
If one of the idol worshipers sought safe passage with you,  you shall grant him safe passage, so that he can hear the word of GOD,  then send him back to his place of security. That is because they are  people who do not know. |[Sura 9:6]
How can the idol worshipers demand any pledge from GOD and from His messenger? Exempted are those who have signed a peace treaty with you at the Sacred Masjid. If they honor and uphold such a treaty, you shall uphold it as well. GOD loves the righteous. |[Sura 9:7]
How can they (demand a pledge) when they never observed any rights of kinship between you and them, nor any covenant, if they ever had a chance to prevail. They pacified you with lip service, while their hearts were in opposition, and most of them are wicked. |[Sura 9:8]
They traded away GOD's revelations for a cheap price. Consequently, they repulsed the people from His path. Miserable indeed is what they did! |[Sura 9:9]
They never observe any rights of kinship towards any believer, nor do they uphold their covenants; these are the real transgressors. |[Sura 9:10]
If they repent and observe the Contact Prayers (Salat) and give the obligatory charity (Zakat), then they are your brethren in religion. We thus explain the revelations for people who know. |[Sura 9:11]
If they violate their oaths after pledging to keep their covenants, and attack your religion, you may fight the leaders of paganism- you are no longer bound by your covenant with them- that they may refrain. |[Sura 9:12]
Would you not fight people who violated their treaties, tried to banish the messenger, and they are the ones who started the war in the first place? Are you afraid of them? GOD is the One you are supposed to fear, if you are believers.|[Sura 9:13]
You shall fight them, for GOD will punish them at  your hands, humiliate them, grant you victory over them, and cool the chests of the believers. |[Sura 9:14]
He will also remove the rage from the believers' hearts. GOD redeems whomever He wills. GOD is Omniscient, Most Wise. |[Sura 9:15]
Did you think that you will be left alone without GOD distinguishing those among you who strive, and never ally themselves with GOD's enemies, or the enemies of His messenger, or the enemies of the believers? GOD is fully Cognizant of everything you do. |[Sura 9:16]
The idol worshipers are not to frequent the masjids of GOD, while confessing their disbelief. These have nullified their works, and they will abide forever in Hell. |[Sura 9:17]
The only people to frequent GOD's masjids are those who believe in GOD and the Last Day, and observe the Contact Prayers (Salat), and give the obligatory charity (Zakat), and do not fear except GOD. These will surely be among the guided ones. |[Sura 9:18]
Have you considered the watering of the pilgrims and caring for the Sacred Masjid a substitute for believing in GOD and the Last Day,  and striving in the cause of GOD? They are not equal in the sight of GOD. GOD does not guide the wicked people. |[Sura 9:19]
Those who believe, and emigrate, and  strive in the cause of GOD with their money and their lives, are far  greater in rank in the sight  of GOD. These are the winners. |[Sura 9:20]
Their Lord gives them good news: mercy and approval from Him, and gardens where they rejoice in everlasting bliss. |[Sura 9:21]
Eternally they abide therein. GOD possesses a great recompense. |[Sura 9:22]
O you who believe, do not ally yourselves even with your parents and your siblings, if they prefer disbelieving over believing. Those among you who ally themselves with them are transgressing. Important Criterion |[Sura 9:23]
Proclaim: "If your parents, your children, your siblings, your spouses, your family, the money you have earned, a business you worry about, and the homes you cherish are more beloved to you than GOD and His messenger, and the striving in His cause, then just wait until GOD brings His judgment." GOD does not guide the wicked people. |[Sura 9:24]
GOD has granted you victory in many situations. But on the day of Hunayn, you became too proud of your great number. Consequently, it did not help you at all, and the spacious earth became so straitened around you, that you turned around and fled. |[Sura 9:25]
Then GOD sent down contentment upon His messenger and upon the believers. And He sent down invisible soldiers; He thus punished those who disbelieved. This is the requital for the disbelievers. |[Sura 9:26]
Ultimately, GOD redeems whomever He wills. GOD is Forgiver, Most Merciful. |[Sura 9:27]
O you who believe, the idol worshipers are polluted; they shall not be permitted to approach the Sacred Masjid after this year. If you fear loss of income, GOD will shower you with His provisions, in accordance with His will. GOD is Omniscient, Most Wise. |[Sura 9:28]
You shall fight back against those who do not believe in GOD, nor in the Last Day, nor do they prohibit what GOD and His messenger have prohibited, nor do they abide by the religion of truth-among those who received the scripture-until they pay the due tax, willingly or unwillingly. |[Sura 9:29]
The Jews said, "Ezra is the son of GOD," while the Christians said, "Jesus is the son of GOD!" These are blasphemies uttered by their mouths. They thus match the blasphemies of those who have disbelieved in the past. GOD con- demns them. They have surely deviated. |[Sura 9:30]
They have set up their religious leaders and scholars as lords, instead of GOD. Others deified the Messiah, son of Mary. They were all commanded to worship only one god. There is no god except He. Be He glorified, high above having any  partners. |[Sura 9:31]
They want to put out GOD's light with their mouths,  but GOD insists upon perfecting His light,  in spite of the disbelievers. |[Sura 9:32]
He is the One who sent His messenger  with the guidance and the religion of truth, and will make it dominate all religions,  in spite of the idol worshipers. |[Sura 9:33]
O you who believe, many religious  leaders and preachers take the  people's money illicitly, and  repel from the path of GOD. Those  who hoard the gold and silver, and do not spend them in the cause of GOD, promise them a painful retribution. |[Sura 9:34]
The day will come when their gold and silver will be heated in the fire of Hell, then used to burn their foreheads, their sides, and their backs: "This is what you hoarded for yourselves, so taste what you have hoarded." |[Sura 9:35]
The count of months, as far as GOD is concerned, is twelve. This has been GOD's law, since the day He created the heavens and the earth. Four of them are sacred. This is the perfect religion; you shall not wrong your souls (by fighting) during the Sacred Months. However, you may declare all-out war against the idol worshipers (even during the Sacred Months), when they declare all-out war against you, and know that  GOD is on the side of the righteous. |[Sura 9:36]
Altering the Sacred Months is a sign of excessive disbelief; it augments the straying of those who have disbelieved. They alternate the Sacred Months and the regular months, while preserving the number of months consecrated by GOD. They thus violate what GOD has consecrated. Their evil works are adorned in their eyes. GOD does not guide the disbelieving people. |[Sura 9:37]
O you who believe, when you are told, "Mobilize in the cause of GOD," why do you become heavily attached to the ground? Have you chosen this worldly life in place of the Hereafter? The materials of this world, compared to the Hereafter, are nil. |[Sura 9:38]
Unless you mobilize, He will commit you to painful retribution and substitute other people in your place; you can never hurt Him in the least. GOD is Omnipotent. |[Sura 9:39]
If you fail to support him (the messenger), GOD has already supported him. Thus, when the disbelievers chased him, and he was one of two in the cave, he said to his friend, "Do not worry; GOD is with us." GOD then sent down contentment and security upon him, and supported him with invisible soldiers. He made the word of the disbelievers lowly. GOD's word reigns supreme. GOD is Almighty, Most Wise. |[Sura 9:40]
You shall readily mobilize, light or heavy, and strive with your money and your lives in the cause of GOD. This is better for you, if you only knew. |[Sura 9:41]
If there were a quick material gain, and a short journey, they would have followed you.  But the striving is just too much for  them. They will swear by GOD: "If we could, we would have mobilized with you." They thus hurt themselves, and GOD knows that they are liars. |[Sura 9:42]
GOD has pardoned you: why did you give them permission (to stay behind), before you could distinguish those who are truthful from the liars? |[Sura 9:43]
Those who truly believe in GOD and the Last Day do not ask your permission to evade the opportunity to strive with their money and their lives. GOD is fully aware of the righteous. |[Sura 9:44]
The only people who wish to be excused are those who do not really believe in GOD and the Last Day. Their hearts are full of doubt, and their doubts cause them to waver. |[Sura 9:45]
Had they really wanted to mobilize, they would have prepared for it thoroughly. But GOD disliked their participation, so He discouraged them; they were told, "Stay behind with those who are staying behind." |[Sura 9:46]
Had they mobilized with you, they would have created confusion, and would have caused disputes and divisions among you. Some of you  were apt to listen to them. GOD is fully aware of the transgressors. |[Sura 9:47]
They sought to spread confusion among you in the past, and confounded matters for you. However, the truth ultimately prevails, and GOD's plan is carried out, in spite of them. |[Sura 9:48]
Some of them would say, "Give me permission (to stay behind); do not impose such a hardship on me." In fact, they have thus incurred a terrible hardship; Hell is surrounding the disbelievers. |[Sura 9:49]
If something good happens to you, they hurt, and if an affliction befalls you, they say, "We told you so," as they turn away rejoicing. |[Sura 9:50]
Say, "Nothing happens to us, except what GOD has decreed for us. He is our Lord and Master. In GOD the believers shall trust." |[Sura 9:51]
Say, "You can only expect for us one of two good things (victory or martyrdom), while we expect for you condemnation from GOD and retribution from Him, or at our hands. Therefore, wait, and we will wait along with you." |[Sura 9:52]
Say, "Spend, willingly or unwillingly. Nothing will be accepted from you, for you are evil people." |[Sura 9:53]
What prevented the acceptance of their spending is that they disbelieved in GOD and His messenger, and when they observed the Contact Prayers (Salat), they observed them lazily, and when they gave to charity, they did so grudgingly. |[Sura 9:54]
Do not be impressed by their money, or their children. GOD causes these to be sources of retribution for them  in this life, and (when they die) their souls  depart while they are disbelievers. |[Sura 9:55]
They swear by GOD that they belong with you, while they do not belong with you; they are divisive people. |[Sura 9:56]
If they could find a refuge, or caves, or a hiding place, they would go to it, rushing. |[Sura 9:57]
Some of them criticize your distribution of the charities; if they are given therefrom, they become satisfied, but if they are not given therefrom, they become objectors. |[Sura 9:58]
They should be satisfied with what GOD and His messenger have given them. They should have said, "GOD suffices us. GOD will provide for us from His bounties, and so will His messenger. We are seeking only GOD." |[Sura 9:59]
Charities shall go to the poor, the needy, the workers who collect them, the new converts, to free the slaves, to those burdened by sudden expenses, in the cause of GOD, and to the traveling alien. Such is GOD's commandment. GOD is Omniscient, Most Wise. |[Sura 9:60]
Some of them hurt the prophet by saying, "He is all ears!" Say, "It is better for you that he listens to you. He believes in GOD, and trusts the believers. He is a mercy for those among you who believe." Those who hurt GOD's messenger have incurred a painful retribution.|[Sura 9:61]
They swear by GOD to you, to please you, when GOD and His messenger are more worthy of pleasing, if they are really believers. |[Sura 9:62]
Did they not know that anyone who opposes GOD and His messenger has incurred the fire of Hell forever? This is the worst humiliation. |[Sura 9:63]
The hypocrites worry that a sura may be revealed exposing what is inside their hearts. Say, "Go ahead and mock. GOD will expose exactly what you are afraid of." |[Sura 9:64]
If you ask them, they would say, "We were only mocking and kidding." Say, "Do you realize that you are mocking GOD, and His revelations, and His messenger?" |[Sura 9:65]
Do not apologize. You have disbelieved after having believed. If we pardon some of you, we will punish others among you, as a con- sequence of their wickedness. |[Sura 9:66]
The hypocrite men and the hypocrite women belong with each other-they advocate evil  and prohibit righteousness, and they are stingy.  They forgot GOD, so He forgot them. The hypocrites are truly wicked. |[Sura 9:67]
GOD promises the hypocrite men and the hypocrite women, as well as the disbelievers, the fire of Hell, wherein they abide forever. It suffices them. GOD has condemned them; they have incurred an everlasting retribution.|[Sura 9:68]
Some of those before you were stronger than you, and possessed more money and children. They became preoccupied with their  material possessions. Similarly, you have become preoccupied  with your material possessions, just like those before you have become preoccupied. You have become totally heedless, just as they were heedless. Such are the people who nullify their works, both in this world and in the Hereafter; they are the losers. |[Sura 9:69]
Have they not learned anything from the previous generations; the people of Noah, `Ad, Thamud, the people of Abraham, the dwellers of Midyan, and the evildoers (of Sodom and Gomorrah)? Their messengers went to them with clear proofs. GOD never wronged them; they are the ones who wronged their own souls. |[Sura 9:70]
The believing men and women are allies of one another. They advocate righteousness and forbid evil, they observe the Contact Prayers (Salat) and give the obligatory charity (Zakat), and they obey GOD and His messenger. These will be showered by GOD's mercy. GOD is Almighty, Most Wise. |[Sura 9:71]
GOD promises the believing men and the believing women gardens with flowing streams, wherein they abide forever, and magnificent mansions in the gardens of Eden. And GOD's blessings and approval are even greater. This is the greatest triumph.|[Sura 9:72]
O you prophet, strive against the disbelievers and the hypocrites, and be stern in dealing with them. Their destiny is Hell; what a miserable abode! |[Sura 9:73]
They swear by GOD that they never said it, although they have uttered the word of disbelief; they have disbelieved after becoming submitters. In fact, they gave up what they never had. They have rebelled even though GOD and His messenger have showered them with His grace and provisions. If they repent, it would be best for them. But if they turn away, GOD will commit them to painful retribution in this life and in the Hereafter. They will find no one on earth to be their lord and master. |[Sura 9:74]
Some of them even pledged: "If GOD showered us with His grace, we would be charitable, and would lead a righteous life." |[Sura 9:75]
But when He did shower them with His provisions, they became stingy, and turned away in aversion. |[Sura 9:76]
Consequently, He plagued them with hypocrisy in their hearts, till the day they meet Him. This is because they broke their promises to GOD, and because of their lying. |[Sura 9:77]
Do they not realize that GOD  knows their secrets, and their conspiracies, and that GOD is the Knower of all secrets? |[Sura 9:78]
Those who criticize the generous believers for giving too much, and ridicule the poor believers for giving too little, GOD despises them. They have incurred a painful retribution.|[Sura 9:79]
Whether you ask forgiveness for them, or  do not ask forgiveness for them- even if you ask forgiveness for  them seventy times-GOD  will not forgive them. This is because they disbelieve  in GOD and His messenger. GOD does not guide the wicked people. |[Sura 9:80]
The sedentary rejoiced in their staying behind the  messenger of GOD, and hated to strive with their  money and their lives in the cause of GOD. They said, "Let us not mobilize in this heat!" Say, "The fire of Hell is much hotter," if they could only comprehend. |[Sura 9:81]
Let them laugh a little, and cry a lot. This is the requital for the sins they have earned. |[Sura 9:82]
If GOD returns you to a situation where they ask your permission to mobilize with you, you shall say, "You will never again mobilize with me, nor will you ever fight with me against any enemy. For you have chosen to be with the sedentary in the first place. Therefore, you must stay with the sedentary." |[Sura 9:83]
You shall not observe the funeral prayer for any of them when he dies, nor shall you stand at his grave. They have disbelieved in GOD and His messenger, and died in a state of wickedness. |[Sura 9:84]
Do not be impressed by their money or their children; GOD causes these to be sources of misery for them in this world, and their souls depart as disbelievers. |[Sura 9:85]
When a sura is revealed, stating: "Believe in GOD, and strive with His messenger," even the strong among them say, "Let us stay behind!" |[Sura 9:86]
They chose to be with the sedentary. Consequently, their hearts were sealed, and thus, they cannot comprehend. |[Sura 9:87]
As for the messenger and those who believed with him, they eagerly strive with their money and their lives. These have deserved all the good things; they are the winners. |[Sura 9:88]
GOD has prepared for them gardens with flowing streams, wherein they abide forever. This is the greatest triumph. |[Sura 9:89]
The Arabs made up excuses, and came to you seeking permission to stay behind. This is indicative of their rejection of GOD and His messenger-they stay behind. Indeed, those who disbelieve among them have incurred a painful retribution. |[Sura 9:90]
Not to be blamed are those who are weak, or ill, or do not find anything to offer, so long as they remain devoted to GOD and His messenger. The righteous among them shall not be blamed. GOD is Forgiver, Most Merciful. |[Sura 9:91]
Also excused are those who come to you wishing to be included with you, but you tell them, "I do not have anything to carry you on." They then turn back with tears in their eyes, genuinely saddened that they could not afford to contribute. |[Sura 9:92]
The blame is on those who ask your permission to stay behind, even though they have no excuse. They have chosen to be with the sedentary. Consequently, GOD has sealed their hearts, and thus, they do not attain any knowledge. |[Sura 9:93]
They apologize to you when you return to them (from battle). Say, "Do not apologize; we no longer trust you. GOD has informed us about you." GOD will see your works, and so will the messenger, then you will be returned to the Knower of all secrets and declarations, then He will inform you of everything you had done. |[Sura 9:94]
They will swear by GOD to you, when you return to them, that you may disregard them. Do disregard them. They are polluted, and their destiny is Hell, as a requital for the sins they have earned. |[Sura 9:95]
They swear to you, that you may pardon them. Even if you pardon them, GOD does not pardon such wicked people. |[Sura 9:96]
The Arabs are the worst in disbelief and hypocrisy, and the most likely to ignore the laws that GOD has revealed to His messenger. GOD is Omniscient, Most Wise. |[Sura 9:97]
Some Arabs consider their spending (in the cause of God) to be a loss, and even wait in anticipation that a disaster may hit you. It is they who will incur the worst disaster. GOD is Hearer, Omniscient. |[Sura 9:98]
Other Arabs do believe in GOD and the Last Day, and consider their spending to be a means towards GOD, and a means of supporting the messenger. Indeed, it will bring them nearer; GOD will admit them into His mercy. GOD is  Forgiver, Most Merciful.|[Sura 9:99]
As for the early vanguards who immigrated (Muhajerin), and the supporters who gave them refuge (Ansar) and those who followed them in righteousness, GOD is pleased with them, and they are pleased with Him. He has prepared for them gardens with flowing streams, wherein they abide forever. This is the greatest triumph. |[Sura 9:100]
Among the Arabs around you,  there are hypocrites. Also, among  the city dwellers, there are those who are accustomed to hypocrisy. You do not know them, but we know them. We will double the retribution for them, then they end up committed to a terrible retribution. |[Sura 9:101]
There are others who have confessed their sins; they have mixed good deeds with bad deeds. GOD will redeem them, for GOD is Forgiver, Most Merciful. |[Sura 9:102]
Take from their money a charity  to purify them and sanctify them. And encourage them, for your encouragement reassures them. GOD is Hearer, Omniscient. |[Sura 9:103]
Do they not realize that GOD accepts the repentance of His worshipers, and takes the charities, and that GOD is the Redeemer, Most Merciful? |[Sura 9:104]
Say, "Work righteousness; GOD will see your work, and so will His messenger and the believers. Ultimately, you will be returned to the Knower of all secrets and declarations, then He will inform you of everything you had done." |[Sura 9:105]
Others are waiting for GOD's decision; He may punish them, or He may redeem them. GOD is Omniscient, Most Wise. |[Sura 9:106]
There are those who abuse the masjid by practicing idol worship, dividing the believers, and providing comfort to those who oppose GOD and His messenger. They solemnly swear: "Our intentions are honorable!" GOD bears witness that they are liars. |[Sura 9:107]
You shall never pray in such a masjid. A masjid that is established on the basis of righteousness from the first day is more worthy of your praying therein. In it, there are people who love to be purified. GOD loves those who purify themselves. |[Sura 9:108]
Is one who establishes his building on the basis of reverencing GOD and to gain His approval better, or one who establishes his building on the brink of a crumbling cliff, that falls down with him into the fire of Hell? GOD does not guide the transgressing people. |[Sura 9:109]
Such a building that they have established remains a source of doubt in their hearts, until their hearts are stilled. GOD is Omniscient, Most Wise. |[Sura 9:110]
GOD has bought from the believers their lives and their money in exchange for Paradise.  Thus, they fight in the cause of GOD, willing to kill and get killed. Such is His  truthful pledge in the Torah, the Gospel, and the Quran-and who  fulfills His pledge better than GOD? You shall rejoice in making such an exchange. This is the greatest triumph. |[Sura 9:111]
They are the repenters, the worshipers, the praisers, the meditators, the bowing and prostrating, the advocators of righteousness and forbidders of evil, and the keepers of GOD's laws. Give good news to such believers. |[Sura 9:112]
Neither the prophet, nor those who believe shall ask forgiveness for the idol worshipers, even if they were their nearest of kin, once they realize that they are destined for Hell. |[Sura 9:113]
The only reason Abraham asked forgiveness for his father was that he had promised him to do so. But as soon as he realized that he was an enemy of GOD, he disowned him. Abraham was extremely kind, clement. |[Sura 9:114]
GOD does not send any people astray, after He had guided them, without first pointing out for them what to expect. GOD is fully aware of all things. |[Sura 9:115]
To GOD belongs the sovereignty of the heavens and the earth. He controls life and death. You have none beside GOD as a Lord and Master. |[Sura 9:116]
GOD has redeemed the prophet, and the immigrants (Muhajireen) and the supporters who hosted them and gave them refuge (Ansar), who followed him during the difficult times. That is when the hearts of some of them almost wavered. But He has redeemed them, for He is Compassionate towards them, Most Merciful.|[Sura 9:117]
Also (redeemed were) the three who stayed behind. The spacious earth became so straitened for them, that they almost gave up all hope for themselves. Finally, they realized that there was no escape from GOD, except to Him. He then redeemed them that they may repent. GOD is the Redeemer, Most Merciful. |[Sura 9:118]
O you who believe, you shall reverence GOD, and be among the truthful. |[Sura 9:119]
Neither the dwellers of the city, nor the Arabs around them, shall seek to stay behind the messenger of GOD (when he mobilizes for war). Nor shall they give priority to their own affairs over supporting him. This is because they do not suffer any thirst, or any effort, or hunger in the cause of GOD, or take a single step that enrages the disbelievers, or inflict any hardship upon the enemy, without having it written down for them as a credit. GOD never fails to recompense those who work righteousness. |[Sura 9:120]
Nor do they incur any expense, small or large, nor do they cross any valley, without having the credit written down for them. GOD will surely reward them generously for their works. |[Sura 9:121]
When the believers mobilize, not all of them shall do so. A few from each group shall mobilize by devoting their time to studying the religion. Thus, they can pass the knowledge on to their people when they return, that they may remain religiously informed.|[Sura 9:122]
O you who believe, you shall fight  the disbelievers who attack you-let them find you stern-and know that GOD is with the righteous. |[Sura 9:123]
When a sura was revealed, some of them would say, "Did this sura strengthen the faith of anyone among you?" Indeed, it did strengthen the faith of those who believed, and they rejoice in any revelation. |[Sura 9:124]
As for those who harbored doubts in their hearts, it actually added unholiness to their unholiness, and they died as disbelievers. |[Sura 9:125]
Do they not see that they suffer from exacting trials every year once or twice? Yet, they consistently fail to repent, and fail to take heed? |[Sura 9:126]
Whenever a sura was revealed, some of them would look at each other as if to say: "Does anyone see you?" Then they left. Thus, GOD has diverted their hearts, for they are people who do not comprehend.|[Sura 9:127]
A.L.R. These (letters) are the proofs of this book of wisdom. |[Sura 10:1]
